deviceId,packetUid,task,deadline,theoreticalStartTime,deviceTxStartTime,delayInStartTime,deviceTxFinishTime,deadlineFinishTime,delayInDeadline,onTime,gatewaysReceived,gatewaysExpected,gatewaysReceivedQty,gatewaysExpectedQty,gatewaysLost,gatewaysLostQty,otherLostLoRaPackets,receivedByNS,delay,inteferingPackets,inteferingNodes,collisionType
96,3305,34,39,22727.7,22727.7,0,22730.3,23416.3,686,1,,3,0,1,3,1,0,0,4.008,3302:3303,35:35:81:81,2
45,3306,34,14,22728.4,22728.4,0,22731,23417,686,1,2:4,2:4,2,2,,0,0,1,4.666,,,0
87,3307,34,2,22730.5,22730.5,0,22733.2,23419.1,685.8999999999978,1,,1,0,1,1,1,0,0,6.83,3309:3311,97:93,2
8,3308,34,20,22731.4,22731.4,0,22734,23420,686,1,3,3,1,1,,0,0,1,7.667,,,0
97,3309,34,17,22731.7,22731.7,0,22734.3,23420.3,686,1,,1,0,1,1,1,0,0,8.014,3307:3311,87:93,2
73,3310,34,2,22731.8,22731.8,0,22734.4,23420.4,686,1,3:1,3:1,2,2,,0,0,1,8.11,,,0
93,3311,34,2,22732,22732,0,22734.6,23420.6,686,1,,1,0,1,1,1,0,0,8.294,3307:3309,87:97,2
29,3312,34,46,22736.2,22736.2,0,22738.8,23424.8,686,1,1:3,1:3,2,2,,0,0,1,12.472,,,0
64,3313,34,3,22743.7,22743.7,0,22746.3,23432.3,686,1,3,3,1,1,,0,0,1,19.991,,,0
39,3314,34,24,22747.3,22747.3,0,22749.9,23435.9,686,1,1:2,1:2,2,2,,0,0,1,23.569,,,0
65,3315,34,4,22747.3,22747.3,0,22749.9,23435.9,686,1,3,3,1,1,,0,0,1,23.617,,,0
66,3316,34,18,22748.8,22748.8,0,22751.5,23437.4,685.9000000000015,1,1,1,1,1,,0,0,1,25.143,,,0
37,3317,34,18,22750.8,22750.8,0,22753.5,23439.4,685.9000000000015,1,3:1,3:1,2,2,,0,0,1,27.129,,,0
5,3318,34,17,22760.3,22760.3,0,22762.9,23448.9,686,1,,2:4,0,2,2:4,2,0,0,36.562,3319:3319,80:80,2
80,3319,34,9,22760.6,22760.6,0,22763.3,23449.2,685.9000000000015,1,2,2,1,1,,0,0,1,36.941,,,0
33,3320,34,12,22762.8,22762.8,0,22765.4,23451.4,686,1,2,2,1,1,,0,0,1,39.113,,,0
84,3321,34,13,22764.2,22764.2,0,22766.8,23452.8,686,1,1,1,1,1,,0,0,1,40.479,,,0
56,3322,34,7,22766.7,22766.7,0,22769.3,23455.2,685.9000000000015,1,4:2,4:2,2,2,,0,0,1,42.95,,,0
32,3323,34,4,22768.8,22768.8,0,22771.5,23457.4,685.9000000000015,1,1,1,1,1,,0,0,1,45.124,,,0
67,3324,34,10,22771.3,22771.3,0,22773.9,23459.9,686,1,2,2:4,1,2,4,1,0,1,47.58,3326,41:41,2
25,3325,34,9,22772.3,22772.3,0,22774.9,23460.9,686,1,4,4,1,1,,0,0,1,48.602,,,0
41,3326,34,13,22773,22773,0,22775.6,23461.6,686,1,4,4:2,1,2,2,1,0,1,49.298,3324,67:67,2
57,3327,34,43,22779,22779,0,22781.6,23467.6,686,1,1:3,1:3,2,2,,0,0,1,55.316,,,0
75,3328,34,9,22784.9,22784.9,0,22787.5,23473.5,686,1,3:4,3:4,2,2,,0,0,1,61.202,,,0
24,3329,34,32,22787.7,22787.7,0,22790.3,23476.3,686,1,3,3,1,1,,0,0,1,64.002,,,0
42,3330,34,18,22787.9,22787.9,0,22790.5,23476.5,686,1,1,1,1,1,,0,0,1,64.188,,,0
10,3331,34,15,22789,22789,0,22791.7,23477.6,685.8999999999978,1,2,2:4,1,2,4,1,0,1,65.349,3329:3332,24:59,2
59,3332,34,6,22789.3,22789.3,0,22791.9,23477.9,686,1,4,4,1,1,,0,0,1,65.582,,,0
27,3333,34,9,22790.9,22790.9,0,22793.5,23479.5,686,1,4:3,4:3,2,2,,0,0,1,67.202,,,0
77,3334,34,9,22793.6,22793.6,0,22796.2,23482.2,686,1,4,4,1,1,,0,0,1,69.881,,,0
74,3335,34,43,22795.2,22795.2,0,22797.9,23483.8,685.8999999999978,1,4:2,4:2,2,2,,0,0,1,71.535,,,0
20,3336,34,46,22797.7,22797.7,0,22800.3,23486.3,686,1,2:4,2:4,2,2,,0,0,1,73.98,,,0
26,3337,34,6,22798.4,22798.4,0,22801,23487,686,1,3,3:4,1,2,4,1,0,1,74.698,3339:3340,40:40:9:9,2
47,3338,34,24,22798.5,22798.5,0,22801.2,23487.1,685.8999999999978,1,2,2,1,1,,0,0,1,74.831,,,0
40,3339,34,16,22799.2,22799.2,0,22801.9,23487.8,685.8999999999978,1,2,2:4,1,2,4,1,0,1,75.547,3337:3340,26:26:9:9,2
9,3340,34,24,22799.4,22799.4,0,22802,23488,686,1,,2:1,0,2,2:1,2,0,0,75.711,3337:3339:3337:3339,26:26:40:40:26:26:40:40,2
48,3341,34,9,22805.9,22805.9,0,22808.5,23494.5,686,1,1:3,1:3,2,2,,0,0,1,82.175,,,0
6,3342,34,14,22807.1,22807.1,0,22809.7,23495.7,686,1,,3,0,1,3,1,0,0,83.403,3343,94:94:94,2
94,3343,34,7,22809.3,22809.3,0,22811.9,23497.9,686,1,3,3:4:1,1,3,4:1,2,0,1,85.591,3342:3344:3345:3342:3344:3345,6:71:71:50:6:71:71:50,2
71,3344,34,27,22809.8,22809.8,0,22812.4,23498.4,686,1,4,4:2,1,2,2,1,0,1,86.064,3343:3345,94:94:94:50,2
50,3345,34,13,22810.3,22810.3,0,22812.9,23498.9,686,1,,4,0,1,4,1,0,0,86.562,3343:3344,94:94:94:71:71,2
